subjects,fake_id,condition,TM,AL,time_min,time_esec,final_purity,final_nmi,final_ri
1,b1,LR,no,no,39,26,0.385390428,0.309731935,0.808316934
2,b2,LR,no,no,40,0,0.338611011,0.249814629,0.83208591
3,b3,LR,no,no,39,28,0.451601295,0.305760672,0.882040119
4,b4,LR,no,no,26,22,0.363620007,0.280496457,0.827321262
5,b5,LR,no,no,40,0,0.35984167,0.272778566,0.831387013
6,b6,LR,no,no,34,10,0.359481828,0.280828282,0.80846969
7,b7,LR,no,no,30,31,0.435588341,0.318757851,0.882396529
8,b8,LR,no,no,39,41,0.347786974,0.259158563,0.804773558
9,b9,LR,no,no,40,0,0.378733357,0.271505734,0.804956037
10,b10,LR,no,no,32,30,0.445483987,0.32526875,0.878039446
11,bal1,LA,no,yes,40,0,0.417776178,0.311564085,0.873527406
12,bal2,LA,no,yes,40,0,0.417596258,0.31268549,0.867471874
13,bal3,LA,no,yes,40,0,0.442425333,0.323590146,0.880266165
14,bal4,LA,no,yes,40,0,0.350125945,0.283412304,0.815295609
15,bal5,LA,no,yes,40,0,0.437207629,0.351179309,0.851821384
16,bal6,LA,no,yes,40,0,0.341129903,0.27412433,0.822024849
17,bal7,LA,no,yes,40,0,0.473911479,0.349899103,0.889119617
18,bal8,LA,no,yes,40,0,0.429830874,0.325389925,0.892696794
19,bal9,LA,no,yes,40,0,0.416696653,0.317369389,0.832103524
20,bal10,LA,no,yes,40,0,0.449262325,0.33574412,0.889457636
21,t1,TR,yes,no,40,0,0.463116229,0.348007633,0.887760352
22,t2,TR,yes,no,40,0,0.483267362,0.36273639,0.896093953
23,t3,TR,yes,no,39,56,0.498200792,0.377510897,0.899077136
24,t4,TR,yes,no,40,0,0.509715725,0.38002869,0.906538492
25,t5,TR,yes,no,34,59,0.465095358,0.350290747,0.872185366
26,t6,TR,yes,no,40,0,0.428211587,0.316923694,0.886564981
27,t7,TR,yes,no,39,15,0.469593379,0.356898437,0.854212968
28,t8,TR,yes,no,38,21,0.491543721,0.366067266,0.898313808
29,t9,TR,yes,no,40,0,0.479309104,0.354945974,0.900736086
30,t10,TR,yes,no,38,10,0.474451241,0.363591195,0.89567907
31,tal1,TA,yes,yes,40,0,0.476610291,0.361180819,0.896246062
32,tal2,TA,yes,yes,36,31,0.494062612,0.362320716,0.909113526
33,tal3,TA,yes,yes,40,0,0.501259446,0.371172488,0.900055838
34,tal4,TA,yes,yes,39,36,0.509535804,0.376572053,0.903618769
35,tal5,TA,yes,yes,40,0,0.512054696,0.393197677,0.892709486
36,tal6,TA,yes,yes,40,0,0.465635121,0.321771796,0.883267285
37,tal7,TA,yes,yes,40,0,0.4827276,0.36736604,0.886316064
38,tal8,TA,yes,yes,40,0,0.520690896,0.387279518,0.90447502
39,tal9,TA,yes,yes,38,28,0.5129543,0.383070427,0.902758439
40,tal10,TA,yes,yes,40,0,0.513134221,0.379083586,0.89746986
