subjects,fake_id,condition,TM,AL,purity,ri,nmi
1,b1,LR,no,no,0.3105,0.7906,0.2119
2,b2,LR,no,no,0.306,0.7922,0.165
3,b3,LR,no,no,0.2792,0.7453,0.1723
4,b4,LR,no,no,0.2582,0.7161,0.1805
5,b5,LR,no,no,0.2881,0.8112,0.1654
6,b6,LR,no,no,0.3136,0.7797,0.2001
7,b7,LR,no,no,0.346,0.8287,0.2383
8,b8,LR,no,no,0.375,0.827,0.2343
9,b9,LR,no,no,0.2706,0.7486,0.1537
10,b10,LR,no,no,0.3348,0.8112,0.2077
11,bal1,LA,no,yes,0.3899,0.8745,0.3209
12,bal2,LA,no,yes,0.3426,0.7809,0.2943
13,bal3,LA,no,yes,0.4221,0.8604,0.3081
14,bal4,LA,no,yes,0.299,0.7844,0.2289
15,bal5,LA,no,yes,0.3449,0.8147,0.279
16,bal6,LA,no,yes,0.3438,0.8143,0.2485
17,bal7,LA,no,yes,0.4295,0.8824,0.3352
18,bal8,LA,no,yes,0.3514,0.8258,0.2627
19,bal9,LA,no,yes,0.3478,0.7726,0.2744
20,bal10,LA,no,yes,0.2661,0.7618,0.1528
21,t1,TR,yes,no,0.3235,0.8643,0.2302
22,t2,TR,yes,no,0.4577,0.8914,0.3318
23,t3,TR,yes,no,0.3339,0.8375,0.2176
24,t4,TR,yes,no,0.3012,0.8308,0.1605
25,t5,TR,yes,no,0.4046,0.8148,0.2842
26,t6,TR,yes,no,0.2899,0.7607,0.1422
27,t7,TR,yes,no,0.4397,0.848,0.3474
28,t8,TR,yes,no,0.1698,0.7483,0.0692
29,t9,TR,yes,no,0.2308,0.813,0.1192
30,t10,TR,yes,no,0.2873,0.8124,0.1806
31,tal1,TA,yes,yes,0.3496,0.8388,0.2266
32,tal2,TA,yes,yes,0.2771,0.7919,0.1531
33,tal3,TA,yes,yes,0.3989,0.8691,0.265
34,tal4,TA,yes,yes,0.1821,0.7248,0.0392
35,tal5,TA,yes,yes,0.328,0.8034,0.2135
36,tal6,TA,yes,yes,0.2539,0.779,0.1402
37,tal7,TA,yes,yes,0.3023,0.7513,0.204
38,tal8,TA,yes,yes,0.2263,0.7594,0.0956
39,tal9,TA,yes,yes,0.407,0.8509,0.2729
40,tal10,TA,yes,yes,0.3741,0.8211,0.2568
