participant,condition,time,purity,RI,NMI
TA1,TA,5,0.235876214,0.749952454,0.114579245
TA1,TA,10,0.349586182,0.838787111,0.226626015
TA1,TA,15,0.375674703,0.853948121,0.253582802
TA1,TA,20,0.44188557,0.88662598,0.30614609
TA1,TA,25,0.445304066,0.880950492,0.308656332
TA1,TA,30,0.452141058,0.883305749,0.311068541
TA1,TA,35,0.47625045,0.891593116,0.353166339
TA1,TA,40,0.476610291,0.896246062,0.361180819
TA2,TA,5,0.218423893,0.766459583,0.07877831
TA2,TA,10,0.277078086,0.791914253,0.153099113
TA2,TA,15,0.387189637,0.854296113,0.262464435
TA2,TA,20,0.419575387,0.88096435,0.30549199
TA2,TA,25,0.5,0.904255307,0.364936436
TA2,TA,30,0.497301187,0.905552279,0.363369767
TA2,TA,35,0.494062612,0.909199974,0.362465603
TA2,TA,40,0.494062612,0.909113526,0.362320716
TA3,TA,5,0.311982728,0.80895263,0.189493841
TA3,TA,10,0.398884491,0.869064968,0.265045247
TA3,TA,15,0.434868658,0.866491035,0.30280842
TA3,TA,20,0.4481828,0.871561195,0.350050698
TA3,TA,25,0.485246492,0.883356581,0.367428012
TA3,TA,30,0.507016913,0.892451698,0.381225869
TA3,TA,35,0.510975171,0.894077493,0.382439808
TA3,TA,40,0.501259446,0.900055838,0.371172488
TA4,TA,5,0.130622526,0.449168009,0.009183575
TA4,TA,10,0.182079885,0.724809254,0.039173442
TA4,TA,15,0.280676502,0.798934112,0.156710868
TA4,TA,20,0.342389349,0.848869607,0.214381979
TA4,TA,25,0.405541562,0.860111988,0.284298474
TA4,TA,30,0.480208708,0.889705906,0.366452669
TA4,TA,35,0.501439367,0.89912609,0.37143137
TA4,TA,40,0.509535804,0.903618769,0.376572053
TA5,TA,5,0.233717164,0.740770437,0.119409497
TA5,TA,10,0.327995682,0.803395061,0.213539988
TA5,TA,15,0.426592299,0.857308305,0.300369621
TA5,TA,20,0.469233537,0.876972484,0.353803098
TA5,TA,25,0.472831954,0.888693661,0.367851426
TA5,TA,30,0.513134221,0.89539007,0.390697175
TA5,TA,35,0.517812163,0.89881339,0.393557711
TA5,TA,40,0.512054696,0.892709486,0.393197677
TA6,TA,5,0.217884131,0.696861788,0.092195837
TA6,TA,10,0.253868298,0.7790216,0.140151199
TA6,TA,15,0.256747031,0.788564171,0.143020621
TA6,TA,20,0.311083123,0.825298909,0.193914951
TA6,TA,25,0.404102195,0.863626677,0.268800439
TA6,TA,30,0.455019791,0.888206835,0.309512494
TA6,TA,35,0.470492983,0.892409283,0.323817626
TA6,TA,40,0.465635121,0.883267285,0.321771796
TA7,TA,5,0.237495502,0.673843577,0.139771757
TA7,TA,10,0.302267003,0.751337427,0.204012741
TA7,TA,15,0.400683699,0.824983942,0.313168545
TA7,TA,20,0.438107233,0.860868841,0.3543202
TA7,TA,25,0.475890608,0.873278554,0.382638797
TA7,TA,30,0.481827996,0.879066585,0.37957765
TA7,TA,35,0.477329975,0.879903215,0.366081742
TA7,TA,40,0.4827276,0.886316064,0.36736604
TA8,TA,5,0.151493343,0.697614043,0.018351774
TA8,TA,10,0.22634041,0.759372574,0.095554154
TA8,TA,15,0.277797769,0.82304467,0.151918702
TA8,TA,20,0.343648795,0.865523924,0.214487378
