Gram-Schmidt, Title+Average, Title+Or, Title+Min, Title+HMean
-222.969941082, -225.556900818, -228.759588452, -216.763369725, -212.036418674
-221.318082243, -228.619822727, -228.798049126, -215.851230144, -208.735288565
-222.890919588, -224.569293547, -222.969924193, -214.558350134, -207.116653088
-221.485745254, -225.455275584, -225.612745173, -215.852541453, -210.219076145
-225.304041841, -228.178597648, -224.276592564, -213.581005939, -212.062315196
-220.425248409, -224.754815208, -226.957827373, -214.318126342, -212.027015889
-221.570500878, -223.472707417, -226.149501064, -215.874568701, -210.758590661
-217.857418281, -222.583197587, -225.336051745, -214.653192589, -210.427038668
-223.804687822, -226.971912776, -229.831691743, -214.95074627, -209.931393886
-227.49139065, -223.563329058, -225.352463025, -216.063455423, -207.919397531
-220.533526918, -226.297509702, -226.017232973, -216.145535713, -211.917384717
-219.368879637, -226.358962644, -225.385536263, -215.90696787, -209.362385584
-220.3958182, -225.816389692, -224.841857782, -214.616612008, -211.16570415
-221.716958616, -223.790315833, -228.861813577, -214.163460462, -209.733889052
-221.648468976, -227.422992303, -220.922397948, -217.165730492, -209.927936473
-222.797665375, -225.399514798, -223.40606382, -212.416678729, -210.956371272
-224.160110079, -226.215226836, -224.24460323, -214.151228824, -211.08995662
-219.550253899, -221.868848764, -229.433903003, -218.486169009, -213.369583998
-224.433437747, -224.964873634, -223.160956517, -214.950217872, -211.34018835
-217.478952372, -229.948816229, -223.07754927, -213.162571831, -211.147932781
-227.438230473, -229.621703435, -225.27903627, -213.467971552, -212.070880334
-225.020148856, -225.326208655, -224.065538974, -213.81308038, -211.6720499
-224.482729828, -224.471871838, -226.133867945, -215.669190849, -210.624828318
-222.336994772, -225.400448506, -224.139267193, -213.301472426, -210.708923793
-218.584160752, -224.491594966, -224.754562743, -216.043170635, -210.451856565
-222.266630062, -224.923014209, -227.645603929, -214.388390507, -212.045226349
-217.29327893, -225.820109416, -224.769003482, -213.264755038, -211.011941827
-227.386322157, -229.448237317, -227.474803433, -215.293067209, -210.055652804
-219.558952819, -223.800224739, -225.160884641, -211.429514726, -211.203649344
-222.127478449, -222.553377953, -227.995239349, -215.738840895, -210.727314608
-217.658674852, -228.873829224, -225.688359384, -215.5380392, -211.236955476
-223.166879454, -224.689342324, -226.437556362, -215.874433271, -210.640456448
-217.689638549, -223.843597097, -227.252701524, -214.526900994, -211.914509219
-216.636187717, -228.616454045, -227.958075344, -214.099725757, -209.630704915
-223.428300721, -221.948770355, -224.642420981, -212.922636476, -211.647464728
-223.515812505, -229.60857333, -221.84730087, -215.23274269, -210.190922619
-219.976910453, -223.762216504, -225.481387074, -215.797054541, -212.246708866
-219.894861403, -225.144383028, -227.559643988, -212.265422235, -212.101862855
-224.042820755, -224.291213443, -224.541877997, -214.11803008, -207.694453827
-226.356222188, -223.785626106, -226.272877372, -213.868168895, -208.660990766
-224.864394172, -229.022324813, -224.638608323, -213.34229961, -210.566593675
-224.186771185, -222.516164686, -223.062656745, -216.641763574, -210.527016586
-222.566176993, -224.682051826, -226.160957473, -215.835808493, -210.557850964
-222.366814597, -225.008108797, -222.465044473, -212.549765006, -211.570071197
-218.921896555, -225.054532489, -225.689670156, -215.437510456, -212.437004603
-223.030755028, -226.334042829, -224.039946756, -215.047609433, -210.378850798
-225.81610938, -225.978111578, -224.224935044, -215.328147221, -209.783796991
-227.822141125, -227.612723694, -228.368602228, -214.596103224, -207.581011942
-223.689380428, -224.270765278, -221.578070798, -215.028995897, -210.549458849
-221.806204842, -226.99419396, -226.811107504, -213.886204081, -206.317895288
-222.139418786, -229.524701623, -226.195353588, -215.053093303, -210.811472706
-224.009890958, -228.838660073, -226.65627946, -215.712016594, -209.42503075
-222.645938317, -222.065408159, -224.02743438, -214.642871078, -212.527222749
-223.028741712, -224.965272257, -222.633129614, -217.045146298, -209.847777914
-220.898873603, -223.031827116, -224.46545526, -214.351131589, -210.500390843
-222.248825225, -224.730562913, -221.424547255, -216.336668091, -208.514483981
-216.249705267, -224.138299998, -222.993159378, -213.851617592, -210.420746074
-227.386174592, -226.037174024, -225.709307458, -216.12006141, -206.955923476
-222.451395103, -222.940146006, -228.158341466, -216.03727274, -209.659314485
-222.952979107, -221.253932106, -226.920807807, -214.848466139, -212.77726477
-216.438995903, -222.056209395, -229.389207132, -214.217048189, -212.498600911
-222.226938102, -229.348293961, -225.204520579, -213.572593007, -210.342046982
-223.084080214, -223.360738331, -223.424731228, -215.226008547, -209.498665989
-223.709199075, -223.368312488, -229.423944247, -213.97764387, -209.448029418
-223.157798303, -225.596992569, -228.375784766, -213.831416788, -210.573863504
-219.624769703, -228.742929025, -224.118077226, -213.386796466, -209.826337134
-225.389315845, -226.845192728, -225.55904244, -214.740914066, -209.881404152
-224.448990788, -222.66426104, -227.446351083, -214.652604646, -210.176340776
-219.183555735, -225.740802538, -223.112329351, -215.219399989, -208.51213161
