Tandem, Singleword
-208.3836584082815, -214.61879554066851
-223.25693983470646, -212.90574205582007
-212.5634665998097, -236.49525810695593
-226.5237018070777, -231.19621076379642
-191.58214388619726, -209.49178459717578
-228.66478258132844, -225.65655188073407
-204.12161533583213, -240.0353968892522
-232.28647108925608, -217.9513236816786
-227.13534531607925, -213.54900864720696
-217.72731358753376, -225.769248050078
-198.06237833667268, -211.8884734630982
-218.15780430891823, -216.53638168477795
-235.7605480754609, -233.1901445443302
-231.6972377500749, -240.865855485963
-227.67737397217547, -219.70050266981906
-243.7222365387198, -213.85688546649848
-214.19317998289102, -215.1068866035451
-199.99091355331763, -214.0209455696402
-218.74915322832626, -225.22250756200054
-230.8740153261308, -224.18234632876425
