Iteration,LearningRate,Likelihood,data,TopicModel
0,Constant,-7.19E+00,SMS,Online LDA
100,Constant,-6.45E+00,SMS,Online LDA
200,Constant,-6.20E+00,SMS,Online LDA
300,Constant,-6.04E+00,SMS,Online LDA
400,Constant,-5.92E+00,SMS,Online LDA
500,Constant,-5.82E+00,SMS,Online LDA
600,Constant,-5.74E+00,SMS,Online LDA
700,Constant,-5.66E+00,SMS,Online LDA
800,Constant,-5.60E+00,SMS,Online LDA
900,Constant,-5.54E+00,SMS,Online LDA
1000,Constant,-5.48E+00,SMS,Online LDA
1100,Constant,-5.43E+00,SMS,Online LDA
1200,Constant,-5.39E+00,SMS,Online LDA
1300,Constant,-5.36E+00,SMS,Online LDA
1400,Constant,-5.33E+00,SMS,Online LDA
1500,Constant,-5.30E+00,SMS,Online LDA
1600,Constant,-5.27E+00,SMS,Online LDA
1700,Constant,-5.25E+00,SMS,Online LDA
1800,Constant,-5.23E+00,SMS,Online LDA
1900,Constant,-5.21E+00,SMS,Online LDA
2000,Constant,-5.20E+00,SMS,Online LDA
2100,Constant,-5.19E+00,SMS,Online LDA
2200,Constant,-5.18E+00,SMS,Online LDA
2300,Constant,-5.16E+00,SMS,Online LDA
2400,Constant,-5.16E+00,SMS,Online LDA
2500,Constant,-5.15E+00,SMS,Online LDA
2600,Constant,-5.15E+00,SMS,Online LDA
2700,Constant,-5.16E+00,SMS,Online LDA
2800,Constant,-5.16E+00,SMS,Online LDA
2900,Constant,-5.16E+00,SMS,Online LDA
3000,Constant,-5.17E+00,SMS,Online LDA
3100,Constant,-5.16E+00,SMS,Online LDA
3200,Constant,-5.16E+00,SMS,Online LDA
3300,Constant,-5.15E+00,SMS,Online LDA
3400,Constant,-5.15E+00,SMS,Online LDA
3500,Constant,-5.16E+00,SMS,Online LDA
3600,Constant,-5.16E+00,SMS,Online LDA
3700,Constant,-5.16E+00,SMS,Online LDA
3800,Constant,-5.16E+00,SMS,Online LDA
3900,Constant,-5.16E+00,SMS,Online LDA
4000,Constant,-5.16E+00,SMS,Online LDA
0,Adagrad,-7.19E+00,SMS,Online LDA
100,Adagrad,-6.56E+00,SMS,Online LDA
200,Adagrad,-6.35E+00,SMS,Online LDA
300,Adagrad,-6.21E+00,SMS,Online LDA
400,Adagrad,-6.10E+00,SMS,Online LDA
500,Adagrad,-6.01E+00,SMS,Online LDA
600,Adagrad,-5.93E+00,SMS,Online LDA
700,Adagrad,-5.87E+00,SMS,Online LDA
800,Adagrad,-5.81E+00,SMS,Online LDA
900,Adagrad,-5.75E+00,SMS,Online LDA
1000,Adagrad,-5.70E+00,SMS,Online LDA
1100,Adagrad,-5.66E+00,SMS,Online LDA
1200,Adagrad,-5.62E+00,SMS,Online LDA
1300,Adagrad,-5.58E+00,SMS,Online LDA
1400,Adagrad,-5.55E+00,SMS,Online LDA
1500,Adagrad,-5.51E+00,SMS,Online LDA
1600,Adagrad,-5.48E+00,SMS,Online LDA
1700,Adagrad,-5.45E+00,SMS,Online LDA
1800,Adagrad,-5.43E+00,SMS,Online LDA
1900,Adagrad,-5.41E+00,SMS,Online LDA
2000,Adagrad,-5.39E+00,SMS,Online LDA
2100,Adagrad,-5.37E+00,SMS,Online LDA
2200,Adagrad,-5.36E+00,SMS,Online LDA
2300,Adagrad,-5.34E+00,SMS,Online LDA
2400,Adagrad,-5.33E+00,SMS,Online LDA
2500,Adagrad,-5.32E+00,SMS,Online LDA
2600,Adagrad,-5.31E+00,SMS,Online LDA
2700,Adagrad,-5.30E+00,SMS,Online LDA
2800,Adagrad,-5.29E+00,SMS,Online LDA
2900,Adagrad,-5.29E+00,SMS,Online LDA
3000,Adagrad,-5.28E+00,SMS,Online LDA
3100,Adagrad,-5.27E+00,SMS,Online LDA
3200,Adagrad,-5.26E+00,SMS,Online LDA
3300,Adagrad,-5.26E+00,SMS,Online LDA
3400,Adagrad,-5.26E+00,SMS,Online LDA
3500,Adagrad,-5.26E+00,SMS,Online LDA
3600,Adagrad,-5.25E+00,SMS,Online LDA
3700,Adagrad,-5.24E+00,SMS,Online LDA
3800,Adagrad,-5.24E+00,SMS,Online LDA
3900,Adagrad,-5.24E+00,SMS,Online LDA
4000,Adagrad,-5.24E+00,SMS,Online LDA
0,Adadelta,-7.18E+00,SMS,Online LDA
100,Adadelta,-5.26E+00,SMS,Online LDA
200,Adadelta,-5.36E+00,SMS,Online LDA
300,Adadelta,-5.37E+00,SMS,Online LDA
400,Adadelta,-5.32E+00,SMS,Online LDA
500,Adadelta,-5.35E+00,SMS,Online LDA
600,Adadelta,-5.37E+00,SMS,Online LDA
700,Adadelta,-5.37E+00,SMS,Online LDA
800,Adadelta,-5.40E+00,SMS,Online LDA
900,Adadelta,-5.40E+00,SMS,Online LDA
1000,Adadelta,-5.35E+00,SMS,Online LDA
1100,Adadelta,-5.34E+00,SMS,Online LDA
1200,Adadelta,-5.34E+00,SMS,Online LDA
1300,Adadelta,-5.36E+00,SMS,Online LDA
1400,Adadelta,-5.38E+00,SMS,Online LDA
1500,Adadelta,-5.42E+00,SMS,Online LDA
1600,Adadelta,-5.41E+00,SMS,Online LDA
1700,Adadelta,-5.37E+00,SMS,Online LDA
1800,Adadelta,-5.35E+00,SMS,Online LDA
1900,Adadelta,-5.35E+00,SMS,Online LDA
2000,Adadelta,-5.35E+00,SMS,Online LDA
2100,Adadelta,-5.39E+00,SMS,Online LDA
2200,Adadelta,-5.41E+00,SMS,Online LDA
2300,Adadelta,-5.39E+00,SMS,Online LDA
2400,Adadelta,-5.36E+00,SMS,Online LDA
2500,Adadelta,-5.35E+00,SMS,Online LDA
2600,Adadelta,-5.36E+00,SMS,Online LDA
2700,Adadelta,-5.37E+00,SMS,Online LDA
2800,Adadelta,-5.40E+00,SMS,Online LDA
2900,Adadelta,-5.42E+00,SMS,Online LDA
3000,Adadelta,-5.38E+00,SMS,Online LDA
3100,Adadelta,-5.35E+00,SMS,Online LDA
3200,Adadelta,-5.35E+00,SMS,Online LDA
3300,Adadelta,-5.37E+00,SMS,Online LDA
3400,Adadelta,-5.39E+00,SMS,Online LDA
3500,Adadelta,-5.41E+00,SMS,Online LDA
3600,Adadelta,-5.41E+00,SMS,Online LDA
3700,Adadelta,-5.37E+00,SMS,Online LDA
3800,Adadelta,-5.36E+00,SMS,Online LDA
3900,Adadelta,-5.35E+00,SMS,Online LDA
4000,Adadelta,-5.37E+00,SMS,Online LDA
0,Adam,-7.19E+00,SMS,Online LDA
100,Adam,-6.48E+00,SMS,Online LDA
200,Adam,-6.23E+00,SMS,Online LDA
300,Adam,-6.06E+00,SMS,Online LDA
400,Adam,-5.94E+00,SMS,Online LDA
500,Adam,-5.84E+00,SMS,Online LDA
600,Adam,-5.75E+00,SMS,Online LDA
700,Adam,-5.68E+00,SMS,Online LDA
800,Adam,-5.62E+00,SMS,Online LDA
900,Adam,-5.57E+00,SMS,Online LDA
1000,Adam,-5.52E+00,SMS,Online LDA
1100,Adam,-5.47E+00,SMS,Online LDA
1200,Adam,-5.42E+00,SMS,Online LDA
1300,Adam,-5.39E+00,SMS,Online LDA
1400,Adam,-5.36E+00,SMS,Online LDA
1500,Adam,-5.33E+00,SMS,Online LDA
1600,Adam,-5.30E+00,SMS,Online LDA
1700,Adam,-5.28E+00,SMS,Online LDA
1800,Adam,-5.26E+00,SMS,Online LDA
1900,Adam,-5.25E+00,SMS,Online LDA
2000,Adam,-5.23E+00,SMS,Online LDA
2100,Adam,-5.22E+00,SMS,Online LDA
2200,Adam,-5.21E+00,SMS,Online LDA
2300,Adam,-5.19E+00,SMS,Online LDA
2400,Adam,-5.18E+00,SMS,Online LDA
2500,Adam,-5.18E+00,SMS,Online LDA
2600,Adam,-5.17E+00,SMS,Online LDA
2700,Adam,-5.17E+00,SMS,Online LDA
2800,Adam,-5.17E+00,SMS,Online LDA
2900,Adam,-5.17E+00,SMS,Online LDA
3000,Adam,-5.17E+00,SMS,Online LDA
3100,Adam,-5.17E+00,SMS,Online LDA
3200,Adam,-5.17E+00,SMS,Online LDA
3300,Adam,-5.17E+00,SMS,Online LDA
3400,Adam,-5.17E+00,SMS,Online LDA
3500,Adam,-5.18E+00,SMS,Online LDA
3600,Adam,-5.19E+00,SMS,Online LDA
3700,Adam,-5.19E+00,SMS,Online LDA
3800,Adam,-5.19E+00,SMS,Online LDA
3900,Adam,-5.20E+00,SMS,Online LDA
4000,Adam,-5.20E+00,SMS,Online LDA
0,Constant,-7.57E+00,SMS,Online HDP
100,Constant,-6.82E+00,SMS,Online HDP
200,Constant,-6.58E+00,SMS,Online HDP
300,Constant,-6.41E+00,SMS,Online HDP
400,Constant,-6.29E+00,SMS,Online HDP
500,Constant,-6.19E+00,SMS,Online HDP
600,Constant,-6.09E+00,SMS,Online HDP
700,Constant,-6.02E+00,SMS,Online HDP
800,Constant,-5.94E+00,SMS,Online HDP
900,Constant,-5.89E+00,SMS,Online HDP
1000,Constant,-5.82E+00,SMS,Online HDP
1100,Constant,-5.78E+00,SMS,Online HDP
1200,Constant,-5.72E+00,SMS,Online HDP
1300,Constant,-5.68E+00,SMS,Online HDP
1400,Constant,-5.65E+00,SMS,Online HDP
1500,Constant,-5.61E+00,SMS,Online HDP
1600,Constant,-5.58E+00,SMS,Online HDP
1700,Constant,-5.56E+00,SMS,Online HDP
1800,Constant,-5.54E+00,SMS,Online HDP
1900,Constant,-5.51E+00,SMS,Online HDP
2000,Constant,-5.49E+00,SMS,Online HDP
2100,Constant,-5.49E+00,SMS,Online HDP
2200,Constant,-5.47E+00,SMS,Online HDP
2300,Constant,-5.46E+00,SMS,Online HDP
2400,Constant,-5.46E+00,SMS,Online HDP
2500,Constant,-5.46E+00,SMS,Online HDP
2600,Constant,-5.47E+00,SMS,Online HDP
2700,Constant,-5.46E+00,SMS,Online HDP
2800,Constant,-5.49E+00,SMS,Online HDP
2900,Constant,-5.47E+00,SMS,Online HDP
3000,Constant,-5.46E+00,SMS,Online HDP
3100,Constant,-5.47E+00,SMS,Online HDP
3200,Constant,-5.48E+00,SMS,Online HDP
3300,Constant,-5.48E+00,SMS,Online HDP
3400,Constant,-5.49E+00,SMS,Online HDP
3500,Constant,-5.49E+00,SMS,Online HDP
3600,Constant,-5.49E+00,SMS,Online HDP
3700,Constant,-5.52E+00,SMS,Online HDP
3800,Constant,-5.51E+00,SMS,Online HDP
3900,Constant,-5.53E+00,SMS,Online HDP
4000,Constant,-5.53E+00,SMS,Online HDP
0,Adagrad,-7.57E+00,SMS,Online HDP
100,Adagrad,-6.93E+00,SMS,Online HDP
200,Adagrad,-6.73E+00,SMS,Online HDP
300,Adagrad,-6.58E+00,SMS,Online HDP
400,Adagrad,-6.46E+00,SMS,Online HDP
500,Adagrad,-6.37E+00,SMS,Online HDP
600,Adagrad,-6.29E+00,SMS,Online HDP
700,Adagrad,-6.21E+00,SMS,Online HDP
800,Adagrad,-6.14E+00,SMS,Online HDP
900,Adagrad,-6.08E+00,SMS,Online HDP
1000,Adagrad,-6.02E+00,SMS,Online HDP
1100,Adagrad,-5.97E+00,SMS,Online HDP
1200,Adagrad,-5.91E+00,SMS,Online HDP
1300,Adagrad,-5.88E+00,SMS,Online HDP
1400,Adagrad,-5.83E+00,SMS,Online HDP
1500,Adagrad,-5.79E+00,SMS,Online HDP
1600,Adagrad,-5.76E+00,SMS,Online HDP
1700,Adagrad,-5.74E+00,SMS,Online HDP
1800,Adagrad,-5.70E+00,SMS,Online HDP
1900,Adagrad,-5.68E+00,SMS,Online HDP
2000,Adagrad,-5.66E+00,SMS,Online HDP
2100,Adagrad,-5.64E+00,SMS,Online HDP
2200,Adagrad,-5.62E+00,SMS,Online HDP
2300,Adagrad,-5.61E+00,SMS,Online HDP
2400,Adagrad,-5.59E+00,SMS,Online HDP
2500,Adagrad,-5.59E+00,SMS,Online HDP
2600,Adagrad,-5.59E+00,SMS,Online HDP
2700,Adagrad,-5.58E+00,SMS,Online HDP
2800,Adagrad,-5.58E+00,SMS,Online HDP
2900,Adagrad,-5.58E+00,SMS,Online HDP
3000,Adagrad,-5.58E+00,SMS,Online HDP
3100,Adagrad,-5.55E+00,SMS,Online HDP
3200,Adagrad,-5.58E+00,SMS,Online HDP
3300,Adagrad,-5.57E+00,SMS,Online HDP
3400,Adagrad,-5.57E+00,SMS,Online HDP
3500,Adagrad,-5.57E+00,SMS,Online HDP
3600,Adagrad,-5.58E+00,SMS,Online HDP
3700,Adagrad,-5.59E+00,SMS,Online HDP
3800,Adagrad,-5.59E+00,SMS,Online HDP
3900,Adagrad,-5.59E+00,SMS,Online HDP
4000,Adagrad,-5.62E+00,SMS,Online HDP
0,Adadelta,-7.57E+00,SMS,Online HDP
100,Adadelta,-6.84E+00,SMS,Online HDP
200,Adadelta,-5.75E+00,SMS,Online HDP
300,Adadelta,-5.74E+00,SMS,Online HDP
400,Adadelta,-5.69E+00,SMS,Online HDP
500,Adadelta,-5.73E+00,SMS,Online HDP
600,Adadelta,-5.73E+00,SMS,Online HDP
700,Adadelta,-5.77E+00,SMS,Online HDP
800,Adadelta,-5.74E+00,SMS,Online HDP
900,Adadelta,-5.77E+00,SMS,Online HDP
1000,Adadelta,-5.72E+00,SMS,Online HDP
1100,Adadelta,-5.68E+00,SMS,Online HDP
1200,Adadelta,-5.74E+00,SMS,Online HDP
1300,Adadelta,-5.72E+00,SMS,Online HDP
1400,Adadelta,-5.72E+00,SMS,Online HDP
1500,Adadelta,-5.77E+00,SMS,Online HDP
1600,Adadelta,-5.76E+00,SMS,Online HDP
1700,Adadelta,-5.72E+00,SMS,Online HDP
1800,Adadelta,-5.68E+00,SMS,Online HDP
1900,Adadelta,-5.73E+00,SMS,Online HDP
2000,Adadelta,-5.73E+00,SMS,Online HDP
2100,Adadelta,-5.73E+00,SMS,Online HDP
2200,Adadelta,-5.76E+00,SMS,Online HDP
2300,Adadelta,-5.74E+00,SMS,Online HDP
2400,Adadelta,-5.70E+00,SMS,Online HDP
2500,Adadelta,-5.71E+00,SMS,Online HDP
2600,Adadelta,-5.71E+00,SMS,Online HDP
2700,Adadelta,-5.76E+00,SMS,Online HDP
2800,Adadelta,-5.75E+00,SMS,Online HDP
2900,Adadelta,-5.77E+00,SMS,Online HDP
3000,Adadelta,-5.73E+00,SMS,Online HDP
3100,Adadelta,-5.67E+00,SMS,Online HDP
3200,Adadelta,-5.74E+00,SMS,Online HDP
3300,Adadelta,-5.75E+00,SMS,Online HDP
3400,Adadelta,-5.77E+00,SMS,Online HDP
3500,Adadelta,-5.77E+00,SMS,Online HDP
3600,Adadelta,-5.80E+00,SMS,Online HDP
3700,Adadelta,-5.67E+00,SMS,Online HDP
3800,Adadelta,-5.67E+00,SMS,Online HDP
3900,Adadelta,-5.72E+00,SMS,Online HDP
4000,Adadelta,-5.74E+00,SMS,Online HDP
0,Adam,-7.57E+00,SMS,Online HDP
100,Adam,-6.85E+00,SMS,Online HDP
200,Adam,-6.61E+00,SMS,Online HDP
300,Adam,-6.43E+00,SMS,Online HDP
400,Adam,-6.31E+00,SMS,Online HDP
500,Adam,-6.20E+00,SMS,Online HDP
600,Adam,-6.11E+00,SMS,Online HDP
700,Adam,-6.03E+00,SMS,Online HDP
800,Adam,-5.96E+00,SMS,Online HDP
900,Adam,-5.90E+00,SMS,Online HDP
1000,Adam,-5.84E+00,SMS,Online HDP
1100,Adam,-5.79E+00,SMS,Online HDP
1200,Adam,-5.73E+00,SMS,Online HDP
1300,Adam,-5.70E+00,SMS,Online HDP
1400,Adam,-5.67E+00,SMS,Online HDP
1500,Adam,-5.62E+00,SMS,Online HDP
1600,Adam,-5.59E+00,SMS,Online HDP
1700,Adam,-5.57E+00,SMS,Online HDP
1800,Adam,-5.55E+00,SMS,Online HDP
1900,Adam,-5.53E+00,SMS,Online HDP
2000,Adam,-5.50E+00,SMS,Online HDP
2100,Adam,-5.50E+00,SMS,Online HDP
2200,Adam,-5.49E+00,SMS,Online HDP
2300,Adam,-5.47E+00,SMS,Online HDP
2400,Adam,-5.47E+00,SMS,Online HDP
2500,Adam,-5.47E+00,SMS,Online HDP
2600,Adam,-5.48E+00,SMS,Online HDP
2700,Adam,-5.48E+00,SMS,Online HDP
2800,Adam,-5.49E+00,SMS,Online HDP
2900,Adam,-5.47E+00,SMS,Online HDP
3000,Adam,-5.47E+00,SMS,Online HDP
3100,Adam,-5.47E+00,SMS,Online HDP
3200,Adam,-5.47E+00,SMS,Online HDP
3300,Adam,-5.49E+00,SMS,Online HDP
3400,Adam,-5.49E+00,SMS,Online HDP
3500,Adam,-5.50E+00,SMS,Online HDP
3600,Adam,-5.50E+00,SMS,Online HDP
3700,Adam,-5.50E+00,SMS,Online HDP
3800,Adam,-5.51E+00,SMS,Online HDP
3900,Adam,-5.53E+00,SMS,Online HDP
4000,Adam,-5.54E+00,SMS,Online HDP
