Iteration,LearningRate,Likelihood,data,TopicModel
0,Constant,-8.31E+00,Wikipedia,Online LDA
100,Constant,-7.57E+00,Wikipedia,Online LDA
200,Constant,-7.54E+00,Wikipedia,Online LDA
300,Constant,-7.52E+00,Wikipedia,Online LDA
400,Constant,-7.51E+00,Wikipedia,Online LDA
500,Constant,-7.49E+00,Wikipedia,Online LDA
600,Constant,-7.49E+00,Wikipedia,Online LDA
700,Constant,-7.48E+00,Wikipedia,Online LDA
800,Constant,-7.48E+00,Wikipedia,Online LDA
900,Constant,-7.47E+00,Wikipedia,Online LDA
1000,Constant,-7.47E+00,Wikipedia,Online LDA
1100,Constant,-7.47E+00,Wikipedia,Online LDA
1200,Constant,-7.47E+00,Wikipedia,Online LDA
1300,Constant,-7.46E+00,Wikipedia,Online LDA
1400,Constant,-7.46E+00,Wikipedia,Online LDA
1500,Constant,-7.46E+00,Wikipedia,Online LDA
1600,Constant,-7.46E+00,Wikipedia,Online LDA
1700,Constant,-7.46E+00,Wikipedia,Online LDA
1800,Constant,-7.46E+00,Wikipedia,Online LDA
1900,Constant,-7.46E+00,Wikipedia,Online LDA
2000,Constant,-7.46E+00,Wikipedia,Online LDA
2100,Constant,-7.45E+00,Wikipedia,Online LDA
2200,Constant,-7.45E+00,Wikipedia,Online LDA
2300,Constant,-7.45E+00,Wikipedia,Online LDA
2400,Constant,-7.45E+00,Wikipedia,Online LDA
2500,Constant,-7.45E+00,Wikipedia,Online LDA
2600,Constant,-7.45E+00,Wikipedia,Online LDA
2700,Constant,-7.45E+00,Wikipedia,Online LDA
2800,Constant,-7.45E+00,Wikipedia,Online LDA
2900,Constant,-7.45E+00,Wikipedia,Online LDA
3000,Constant,-7.45E+00,Wikipedia,Online LDA
3100,Constant,-7.45E+00,Wikipedia,Online LDA
3200,Constant,-7.45E+00,Wikipedia,Online LDA
3300,Constant,-7.45E+00,Wikipedia,Online LDA
3400,Constant,-7.45E+00,Wikipedia,Online LDA
3500,Constant,-7.45E+00,Wikipedia,Online LDA
3600,Constant,-7.45E+00,Wikipedia,Online LDA
3700,Constant,-7.45E+00,Wikipedia,Online LDA
3800,Constant,-7.45E+00,Wikipedia,Online LDA
3900,Constant,-7.45E+00,Wikipedia,Online LDA
4000,Constant,-7.45E+00,Wikipedia,Online LDA
4100,Constant,-7.45E+00,Wikipedia,Online LDA
4200,Constant,-7.44E+00,Wikipedia,Online LDA
4300,Constant,-7.44E+00,Wikipedia,Online LDA
4400,Constant,-7.44E+00,Wikipedia,Online LDA
4500,Constant,-7.44E+00,Wikipedia,Online LDA
4600,Constant,-7.44E+00,Wikipedia,Online LDA
4700,Constant,-7.44E+00,Wikipedia,Online LDA
4800,Constant,-7.44E+00,Wikipedia,Online LDA
4900,Constant,-7.44E+00,Wikipedia,Online LDA
5000,Constant,-7.44E+00,Wikipedia,Online LDA
5100,Constant,-7.44E+00,Wikipedia,Online LDA
5200,Constant,-7.44E+00,Wikipedia,Online LDA
5300,Constant,-7.44E+00,Wikipedia,Online LDA
5400,Constant,-7.44E+00,Wikipedia,Online LDA
5500,Constant,-7.44E+00,Wikipedia,Online LDA
5600,Constant,-7.44E+00,Wikipedia,Online LDA
5700,Constant,-7.44E+00,Wikipedia,Online LDA
5800,Constant,-7.44E+00,Wikipedia,Online LDA
5900,Constant,-7.44E+00,Wikipedia,Online LDA
6000,Constant,-7.44E+00,Wikipedia,Online LDA
6100,Constant,-7.44E+00,Wikipedia,Online LDA
6200,Constant,-7.44E+00,Wikipedia,Online LDA
