,Actual Classification Accuracy,Predicted Accuracy,lang,dim
0,0.3233333333,0.29176489880580686,IT,100
1,0.241,0.4760809514782185,IT,200
2,0.6833333333,0.6537266841524453,IT,100
3,0.682,0.6960343667340988,IT,200
4,0.4606666667,0.48214198561457333,IT,100
5,0.431,0.5884062242960714,IT,200
6,0.675,0.5908231435162282,IT,100
7,0.716,0.638967219716899,IT,200
8,0.4706666667,0.4948472672660086,DA,100
9,0.524,0.6504223057286929,DA,200
10,0.7013333333,0.6323201964853797,DA,100
11,0.7056666667,0.6623826844929641,DA,200
12,0.6093333333,0.4378294894985785,DA,100
13,0.6133333333,0.5619548394304834,DA,200
14,0.74,0.7178366026114117,DA,100
15,0.751,0.7521278067721386,DA,200
