,Precision@1,Modularity,Dim,Lang
0,10.57,0.432,100,ES
1,3.74,0.519,100,ES
2,7.15,0.557,100,ES
3,12.2,0.415,100,ES
4,12.2,0.477,100,ES
5,11.22,0.417,200,ES
6,4.72,0.486,200,ES
7,7.64,0.49,200,ES
8,12.36,0.401,200,ES
9,12.52,0.386,200,ES
10,15.43,0.461,100,DA
11,4.0,0.532,100,DA
12,12.65,0.499,100,DA
13,18.2,0.418,100,DA
14,18.78,0.398,100,DA
15,17.14,0.452,200,DA
16,4.33,0.488,200,DA
17,12.9,0.443,200,DA
18,20.08,0.409,200,DA
19,20.82,0.397,200,DA
20,7.53,0.449,100,IT
21,2.28,0.524,100,IT
22,6.5,0.552,100,IT
23,8.67,0.437,100,IT
24,9.35,0.415,100,IT
25,8.78,0.436,200,IT
26,2.96,0.487,200,IT
27,6.61,0.487,200,IT
28,9.81,0.423,200,IT
29,10.49,0.412,200,IT
30,5.93,0.496,100,JA
31,1.02,0.553,100,JA
32,2.04,0.635,100,JA
33,5.32,0.485,100,JA
34,8.18,0.488,100,JA
35,7.98,0.476,200,JA
36,1.43,0.513,200,JA
37,2.86,0.571,200,JA
38,7.98,0.46,200,JA
39,11.04,0.481,200,JA
