x,y,Model,Dataset
0.0227248899140281,0.020950606709210784,DAN,Regular Test
0.07345736670542713,0.054815027153280904,DAN,Regular Test
0.1223908194971311,0.059826044442494286,DAN,Regular Test
0.17132427228883512,0.08955663208760056,DAN,Regular Test
0.22169694428029513,0.10503834620891717,DAN,Regular Test
0.27206961627175513,0.12770891497454961,DAN,Regular Test
0.32100306906345916,0.1550432177382174,DAN,Regular Test
0.3699365218551632,0.19120593848613254,DAN,Regular Test
0.42174841304637917,0.20744708965688008,DAN,Regular Test
0.4706818658380832,0.24449265220322014,DAN,Regular Test
0.5196153186297872,0.25530520131065326,DAN,Regular Test
0.5714272098210031,0.3087518282721582,DAN,Regular Test
0.6203606626127072,0.32170842174719416,DAN,Regular Test
0.6692941154044112,0.3608980286611372,DAN,Regular Test
0.7182275681961152,0.3786471918990505,DAN,Regular Test
0.7700394593873312,0.40800484978925144,DAN,Regular Test
0.8189729121790352,0.42852865867935686,DAN,Regular Test
0.8679063649707393,0.44766514474336616,DAN,Regular Test
0.9197182561619552,0.46642870105247025,DAN,Regular Test
0.9686517089536593,0.491618959448535,DAN,Regular Test
1.0175851617453633,0.5245025535165868,DAN,Regular Test
0.023084694713967124,0.011586856510043542,DAN,Round 1 - IR Adversarial
0.07345736670542713,0.033500703734169024,DAN,Round 1 - IR Adversarial
0.1223908194971311,0.039646803335642744,DAN,Round 1 - IR Adversarial
0.17132427228883512,0.05726984631663834,DAN,Round 1 - IR Adversarial
0.22169694428029513,0.07620725547750329,DAN,Round 1 - IR Adversarial
0.27206961627175513,0.08217950222721615,DAN,Round 1 - IR Adversarial
0.32100306906345916,0.08731663977334725,DAN,Round 1 - IR Adversarial
0.3699365218551632,0.10733596763578146,DAN,Round 1 - IR Adversarial
0.42174841304637917,0.11449646030844574,DAN,Round 1 - IR Adversarial
0.4706818658380832,0.1264440917281393,DAN,Round 1 - IR Adversarial
0.5196153186297872,0.1319595900450239,DAN,Round 1 - IR Adversarial
0.5714272098210031,0.1508492666110458,DAN,Round 1 - IR Adversarial
0.6203606626127072,0.16166181571847882,DAN,Round 1 - IR Adversarial
0.6692941154044112,0.15532200988508837,DAN,Round 1 - IR Adversarial
0.7182275681961152,0.18366527470409866,DAN,Round 1 - IR Adversarial
0.7700394593873312,0.18603319761388581,DAN,Round 1 - IR Adversarial
0.8189729121790352,0.20668312676090905,DAN,Round 1 - IR Adversarial
0.8679063649707393,0.21976584049286296,DAN,Round 1 - IR Adversarial
0.9197182561619552,0.24054732091265207,DAN,Round 1 - IR Adversarial
0.9686517089536593,0.25804424363672984,DAN,Round 1 - IR Adversarial
1.0175851617453633,0.3061883887918381,DAN,Round 1 - IR Adversarial
0.02508343713451655,0.024197455735266327,RNN,Regular Test
0.07390010364270827,0.05014421532135982,RNN,Regular Test
0.12558833876902886,0.0675202154910377,RNN,Regular Test
0.17440500527722036,0.08640424068973318,RNN,Regular Test
0.22322167178541208,0.09444192379349592,RNN,Regular Test
0.2720383382936036,0.11950584158116451,RNN,Regular Test
0.32372657341992417,0.1387736456046098,RNN,Regular Test
0.3725432399281159,0.17090029777967652,RNN,Regular Test
0.4213599064363074,0.1987388612195371,RNN,Regular Test
0.473048141562628,0.2338978176146279,RNN,Regular Test
0.5218648080708195,0.24647582996743211,RNN,Regular Test
0.5706814745790112,0.2821338493361978,RNN,Regular Test
0.6209339253962671,0.2915867883444383,RNN,Regular Test
0.6711863762135235,0.34172612223436816,RNN,Regular Test
0.7200030427217152,0.36489823616826944,RNN,Regular Test
0.7688197092299065,0.38542182470689645,RNN,Regular Test
0.8205079443562271,0.43067040165541304,RNN,Regular Test
0.8693246108644188,0.4607791297197945,RNN,Regular Test
0.9181412773726105,0.4844557246813671,RNN,Regular Test
0.9698295124989311,0.5169661556811836,RNN,Regular Test
1.0186461790071228,0.5987841890818719,RNN,Regular Test
0.02508343713451655,0.013729474411087184,RNN,Round 1 - IR Adversarial
0.07390010364270827,0.03185677806827569,RNN,Round 1 - IR Adversarial
0.12558833876902886,0.04317900590589829,RNN,Round 1 - IR Adversarial
0.17440500527722036,0.06408095521527868,RNN,Round 1 - IR Adversarial
0.22322167178541208,0.07565000551274048,RNN,Round 1 - IR Adversarial
0.2720383382936036,0.08406604938725659,RNN,Round 1 - IR Adversarial
0.32372657341992417,0.08504641615761799,RNN,Round 1 - IR Adversarial
0.3725432399281159,0.089300491553846,RNN,Round 1 - IR Adversarial
0.4213599064363074,0.10213074442048586,RNN,Round 1 - IR Adversarial
0.473048141562628,0.11446193431345109,RNN,Round 1 - IR Adversarial
0.5218648080708195,0.13044519360303652,RNN,Round 1 - IR Adversarial
0.5706814745790112,0.14832025674638938,RNN,Round 1 - IR Adversarial
0.6223697097053318,0.15812904150099805,RNN,Round 1 - IR Adversarial
0.6711863762135235,0.1621308763833904,RNN,Round 1 - IR Adversarial
0.7200030427217152,0.17281708488242753,RNN,Round 1 - IR Adversarial
0.7688197092299065,0.19586307855941087,RNN,Round 1 - IR Adversarial
0.8205079443562271,0.21727492695045925,RNN,Round 1 - IR Adversarial
0.8693246108644188,0.22417752774196165,RNN,Round 1 - IR Adversarial
0.9181412773726105,0.2537817747786718,RNN,Round 1 - IR Adversarial
0.9698295124989311,0.2905802945136944,RNN,Round 1 - IR Adversarial
1.0186461790071228,0.3814789864124657,RNN,Round 1 - IR Adversarial
0.02502296667571091,0.03063632847164599,IR,Regular Test
0.07389795656085463,0.03804352033492708,IR,Regular Test
0.12277294644599834,0.057810497376154735,IR,Regular Test
0.17308543603364646,0.0953883669577682,IR,Regular Test
0.22914792443131127,0.11388247869638224,IR,Regular Test
0.27227291550643784,0.15205216419325318,IR,Regular Test
0.32114790539158156,0.19149390131366084,IR,Regular Test
0.3728978946817336,0.22791417679522008,IR,Regular Test
0.42177288456687734,0.26180662261124377,IR,Regular Test
0.47064787445202105,0.2982214735656237,IR,Regular Test
0.5223978637421731,0.3377947554701285,IR,Regular Test
0.5712728536273168,0.3820290623534135,IR,Regular Test
0.6201478435124606,0.4122640207188202,IR,Regular Test
0.6690228333976043,0.4398504536889527,IR,Regular Test
0.7207728226877563,0.4642893047633189,IR,Regular Test
0.7696478125729,0.48632644642906725,IR,Regular Test
0.8185228024580438,0.5009224929366642,IR,Regular Test
0.8702727917481963,0.5280098694063047,IR,Regular Test
0.91914778163334,0.5265886432853382,IR,Regular Test
0.9680227715184833,0.5555623990815668,IR,Regular Test
1.0197727608086358,0.5724340347408637,IR,Regular Test
0.02502296667571091,0.020925068688973814,IR,Round 1 - IR Adversarial
0.07389795656085463,0.052799590394312146,IR,Round 1 - IR Adversarial
0.12277294644599834,0.06777399767266257,IR,Round 1 - IR Adversarial
0.17308543603364646,0.08381052737271233,IR,Round 1 - IR Adversarial
0.22339792562129412,0.10453873063010488,IR,Round 1 - IR Adversarial
0.27227291550643784,0.11976537842229096,IR,Round 1 - IR Adversarial
0.32114790539158156,0.1436943239418066,IR,Round 1 - IR Adversarial
0.3728978946817336,0.16447568756555597,IR,Round 1 - IR Adversarial
0.42177288456687734,0.19193600027877078,IR,Round 1 - IR Adversarial
0.47064787445202105,0.19606406546218846,IR,Round 1 - IR Adversarial
0.5223978637421731,0.2134401821491565,IR,Round 1 - IR Adversarial
0.5712728536273168,0.24367514051456352,IR,Round 1 - IR Adversarial
0.6201478435124606,0.2586495477929138,IR,Round 1 - IR Adversarial
0.6690228333976043,0.2646694168300987,IR,Round 1 - IR Adversarial
0.7207728226877563,0.29907176820097303,IR,Round 1 - IR Adversarial
0.7696478125729,0.30887524494569263,IR,Round 1 - IR Adversarial
0.8185228024580438,0.3329303107221261,IR,Round 1 - IR Adversarial
0.8702727917481963,0.34324369302169633,IR,Round 1 - IR Adversarial
0.91914778163334,0.36528083468744477,IR,Round 1 - IR Adversarial
0.9680227715184833,0.3869396155824395,IR,Round 1 - IR Adversarial
1.0197727608086358,0.4413950878032473,IR,Round 1 - IR Adversarial
