clwe,refine,language,accuracy
PROC,Original,ES,87.0
PROC,Original,RU,71.3
PROC,Original,ZH,71.0
PROC,Original,FR,85.9
PROC,Original,IT,84.1
PROC,Original,DE,84.0
PROC,Original,JA,70.8
PROC,+retrofit,ES,100
PROC,+retrofit,RU,100
PROC,+retrofit,ZH,100
PROC,+retrofit,FR,100
PROC,+retrofit,IT,100
PROC,+retrofit,DE,100
PROC,+retrofit,JA,100
PROC,+synthetic,ES,94.4
PROC,+synthetic,RU,85.5
PROC,+synthetic,ZH,85.6
PROC,+synthetic,FR,94.0
PROC,+synthetic,IT,92.7
PROC,+synthetic,DE,91.3
PROC,+synthetic,JA,87.9
CCA,Original,ES,86.2
CCA,Original,RU,68.5
CCA,Original,ZH,63.7
CCA,Original,FR,85.7
CCA,Original,IT,82.9
CCA,Original,DE,83.2
CCA,Original,JA,72.2
CCA,+retrofit,ES,100
CCA,+retrofit,RU,100
CCA,+retrofit,ZH,100
CCA,+retrofit,FR,100
CCA,+retrofit,IT,100
CCA,+retrofit,DE,100
CCA,+retrofit,JA,100
CCA,+synthetic,ES,96.4
CCA,+synthetic,RU,90.1
CCA,+synthetic,ZH,87.3
CCA,+synthetic,FR,96.1
CCA,+synthetic,IT,95.4
CCA,+synthetic,DE,95.4
CCA,+synthetic,JA,91.6
RCSLS,Original,ES,87.5
RCSLS,Original,RU,72.0
RCSLS,Original,ZH,72.4
RCSLS,Original,FR,86.2
RCSLS,Original,IT,84.6
RCSLS,Original,DE,84.4
RCSLS,Original,JA,72.3
RCSLS,+retrofit,ES,100
RCSLS,+retrofit,RU,100
RCSLS,+retrofit,ZH,100
RCSLS,+retrofit,FR,100
RCSLS,+retrofit,IT,100
RCSLS,+retrofit,DE,100
RCSLS,+retrofit,JA,100
RCSLS,+synthetic,ES,94.6
RCSLS,+synthetic,RU,86.1
RCSLS,+synthetic,ZH,86.5
RCSLS,+synthetic,FR,94.0
RCSLS,+synthetic,IT,93.0
RCSLS,+synthetic,DE,91.6
RCSLS,+synthetic,JA,88.6
