clwe,refine,language,accuracy
PROC,Original,ES,76.0
PROC,Original,RU,66.2
PROC,Original,ZH,79.6
PROC,Original,FR,72.8
PROC,Original,IT,65.7
PROC,Original,DE,86.0
PROC,Original,JA,61.9
PROC,Original,AVG,72.6
PROC,+retrofit,ES,77.7
PROC,+retrofit,RU,66.0
PROC,+retrofit,ZH,79.5
PROC,+retrofit,FR,76.6
PROC,+retrofit,IT,68.3
PROC,+retrofit,DE,87.8
PROC,+retrofit,JA,59.3
PROC,+retrofit,AVG,73.6
PROC,+synthetic,ES,78.4
PROC,+synthetic,RU,66.8
PROC,+synthetic,ZH,81.3
PROC,+synthetic,FR,72.4
PROC,+synthetic,IT,68.9
PROC,+synthetic,DE,86.5
PROC,+synthetic,JA,66.8
PROC,+synthetic,AVG,74.4
CCA,Original,ES,73.9
CCA,Original,RU,65.1
CCA,Original,ZH,80.3
CCA,Original,FR,77.5
CCA,Original,IT,64.3
CCA,Original,DE,87.2
CCA,Original,JA,54.7
CCA,Original,AVG,72.9
CCA,+retrofit,ES,76.6
CCA,+retrofit,RU,64.5
CCA,+retrofit,ZH,80.9
CCA,+retrofit,FR,78.4
CCA,+retrofit,IT,65.8
CCA,+retrofit,DE,88.6
CCA,+retrofit,JA,55.5
CCA,+retrofit,AVG,72.9
CCA,+synthetic,ES,76.9
CCA,+synthetic,RU,65.4
CCA,+synthetic,ZH,81.7
CCA,+synthetic,FR,77.5
CCA,+synthetic,IT,67.0
CCA,+synthetic,DE,88.0
CCA,+synthetic,JA,55.4
CCA,+synthetic,AVG,73.1
RCSLS,Original,ES,76.9
RCSLS,Original,RU,66.2
RCSLS,Original,ZH,79.7
RCSLS,Original,FR,73.1
RCSLS,Original,IT,66.9
RCSLS,Original,DE,86.5
RCSLS,Original,JA,59.0
RCSLS,Original,AVG,72.6
RCSLS,+retrofit,ES,78.9
RCSLS,+retrofit,RU,65.7
RCSLS,+retrofit,ZH,79.2
RCSLS,+retrofit,FR,76.0
RCSLS,+retrofit,IT,67.9
RCSLS,+retrofit,DE,87.7
RCSLS,+retrofit,JA,59.9
RCSLS,+retrofit,AVG,73.6
RCSLS,+synthetic,ES,79.2
RCSLS,+synthetic,RU,68.1
RCSLS,+synthetic,ZH,80.8
RCSLS,+synthetic,FR,71.8
RCSLS,+synthetic,IT,68.7
RCSLS,+synthetic,DE,85.6
RCSLS,+synthetic,JA,65.8
RCSLS,+synthetic,AVG,74.3
