,Confidence,Effective Proportion,Average Accuracy,$\Delta$ Accuracy,Test Needed
0,0.95,$\rho=0.75$,50.0,1.0,4393
1,0.95,$\rho=0.75$,50.0,1.0999999999999999,3824
2,0.95,$\rho=0.75$,50.0,1.2,3122
3,0.95,$\rho=0.75$,50.0,1.3,2738
4,0.95,$\rho=0.75$,50.0,1.4000000000000001,2289
5,0.95,$\rho=0.75$,50.0,1.5,1988
6,0.95,$\rho=0.75$,50.0,1.6,1773
7,0.95,$\rho=0.75$,50.0,1.7000000000000002,1605
8,0.95,$\rho=0.75$,50.0,1.8000000000000003,1401
9,0.95,$\rho=0.75$,50.0,1.9,1295
10,0.95,$\rho=0.75$,50.0,2.0,1151
11,0.95,$\rho=0.75$,75.0,1.0,3344
12,0.95,$\rho=0.75$,50.0,2.1,1000
13,0.95,$\rho=0.75$,75.0,1.05,3223
14,0.95,$\rho=0.75$,50.0,2.1999999999999997,928
15,0.95,$\rho=0.75$,75.0,1.0999999999999999,2732
16,0.95,$\rho=0.75$,50.0,2.3,872
17,0.95,$\rho=0.75$,75.0,1.15,2739
18,0.95,$\rho=0.75$,50.0,2.4,831
19,0.95,$\rho=0.75$,75.0,1.2,2442
20,0.95,$\rho=0.75$,50.0,2.5,761
21,0.95,$\rho=0.75$,75.0,1.25,2123
22,0.95,$\rho=0.75$,50.0,2.6,684
23,0.95,$\rho=0.75$,75.0,1.3,2060
24,0.95,$\rho=0.75$,50.0,2.7,639
25,0.95,$\rho=0.75$,75.0,1.35,1917
26,0.95,$\rho=0.75$,50.0,2.8000000000000003,586
27,0.95,$\rho=0.75$,75.0,1.4000000000000001,1795
28,0.95,$\rho=0.75$,50.0,2.9000000000000004,537
29,0.95,$\rho=0.75$,75.0,1.4500000000000002,1762
30,0.95,$\rho=0.75$,50.0,3.0,518
31,0.95,$\rho=0.75$,75.0,1.5,1501
32,0.95,$\rho=0.75$,50.0,3.1,469
33,0.95,$\rho=0.75$,75.0,1.55,1367
34,0.95,$\rho=0.75$,50.0,3.2,456
35,0.95,$\rho=0.75$,75.0,1.6,1352
36,0.95,$\rho=0.75$,50.0,3.3000000000000003,441
37,0.95,$\rho=0.75$,75.0,1.6500000000000001,1275
38,0.95,$\rho=0.75$,50.0,3.4000000000000004,400
39,0.95,$\rho=0.75$,75.0,1.7000000000000002,1216
40,0.95,$\rho=0.75$,50.0,3.5000000000000004,388
41,0.95,$\rho=0.75$,75.0,1.7500000000000002,1135
42,0.95,$\rho=0.75$,50.0,3.6000000000000005,361
43,0.95,$\rho=0.75$,75.0,1.8000000000000003,1067
44,0.95,$\rho=0.75$,50.0,3.6999999999999997,349
45,0.95,$\rho=0.75$,75.0,1.8499999999999999,1008
46,0.95,$\rho=0.75$,50.0,3.8,325
47,0.95,$\rho=0.75$,75.0,1.9,981
48,0.95,$\rho=0.75$,50.0,3.9,305
49,0.95,$\rho=0.75$,75.0,1.95,910
50,0.95,$\rho=0.75$,50.0,4.0,295
51,0.95,$\rho=0.75$,75.0,2.0,865
52,0.95,$\rho=0.75$,50.0,4.1000000000000005,280
53,0.95,$\rho=0.75$,75.0,2.0500000000000003,823
54,0.95,$\rho=0.75$,50.0,4.2,273
55,0.95,$\rho=0.75$,75.0,2.1,801
56,0.95,$\rho=0.75$,50.0,4.300000000000001,258
57,0.95,$\rho=0.75$,75.0,2.1500000000000004,783
58,0.95,$\rho=0.75$,50.0,4.3999999999999995,245
59,0.95,$\rho=0.75$,75.0,2.1999999999999997,718
60,0.95,$\rho=0.75$,50.0,4.5,242
61,0.95,$\rho=0.75$,75.0,2.25,690
62,0.95,$\rho=0.75$,50.0,4.6,224
63,0.95,$\rho=0.75$,75.0,2.3,675
64,0.95,$\rho=0.75$,50.0,4.7,215
65,0.95,$\rho=0.75$,75.0,2.35,632
66,0.95,$\rho=0.75$,50.0,4.8,221
67,0.95,$\rho=0.75$,75.0,2.4,603
68,0.95,$\rho=0.75$,50.0,4.9,200
69,0.95,$\rho=0.75$,75.0,2.45,578
70,0.95,$\rho=0.75$,50.0,5.0,203
71,0.95,$\rho=0.75$,75.0,2.5,587
72,0.95,$\rho=0.75$,90.0,0.9999999999999999,1722
73,0.95,$\rho=0.75$,50.0,5.1000000000000005,185
74,0.95,$\rho=0.75$,75.0,2.5500000000000003,550
75,0.95,$\rho=0.75$,90.0,1.0199999999999998,1645
76,0.95,$\rho=0.75$,50.0,5.2,175
77,0.95,$\rho=0.75$,75.0,2.6,519
78,0.95,$\rho=0.75$,90.0,1.0399999999999998,1514
79,0.95,$\rho=0.75$,50.0,5.3,170
80,0.95,$\rho=0.75$,75.0,2.65,498
81,0.95,$\rho=0.75$,90.0,1.0599999999999998,1515
82,0.95,$\rho=0.75$,50.0,5.4,166
83,0.95,$\rho=0.75$,75.0,2.7,463
84,0.95,$\rho=0.75$,90.0,1.0799999999999996,1467
85,0.95,$\rho=0.75$,50.0,5.5,157
86,0.95,$\rho=0.75$,75.0,2.75,489
87,0.95,$\rho=0.75$,90.0,1.0999999999999999,1404
88,0.95,$\rho=0.75$,50.0,5.6000000000000005,156
89,0.95,$\rho=0.75$,75.0,2.8000000000000003,451
90,0.95,$\rho=0.75$,90.0,1.1199999999999999,1340
91,0.95,$\rho=0.75$,50.0,5.7,148
92,0.95,$\rho=0.75$,75.0,2.85,446
93,0.95,$\rho=0.75$,90.0,1.1399999999999997,1296
94,0.95,$\rho=0.75$,50.0,5.800000000000001,137
95,0.95,$\rho=0.75$,75.0,2.9000000000000004,422
96,0.95,$\rho=0.75$,90.0,1.1599999999999997,1266
97,0.95,$\rho=0.75$,50.0,5.9,148
98,0.95,$\rho=0.75$,75.0,2.95,411
99,0.95,$\rho=0.75$,90.0,1.1799999999999997,1245
100,0.95,$\rho=0.75$,50.0,6.0,132
101,0.95,$\rho=0.75$,75.0,3.0,395
102,0.95,$\rho=0.75$,90.0,1.1999999999999997,1163
103,0.95,$\rho=0.75$,50.0,6.1,133
104,0.95,$\rho=0.75$,75.0,3.05,384
105,0.95,$\rho=0.75$,90.0,1.2199999999999998,1135
106,0.95,$\rho=0.75$,50.0,6.2,128
107,0.95,$\rho=0.75$,75.0,3.1,360
108,0.95,$\rho=0.75$,90.0,1.2399999999999998,1102
109,0.95,$\rho=0.75$,50.0,6.3,125
110,0.95,$\rho=0.75$,75.0,3.15,367
111,0.95,$\rho=0.75$,90.0,1.2599999999999996,1077
112,0.95,$\rho=0.75$,50.0,6.4,124
113,0.95,$\rho=0.75$,75.0,3.2,353
114,0.95,$\rho=0.75$,90.0,1.2799999999999998,1009
115,0.95,$\rho=0.75$,50.0,6.5,114
116,0.95,$\rho=0.75$,75.0,3.25,346
117,0.95,$\rho=0.75$,90.0,1.2999999999999998,1006
118,0.95,$\rho=0.75$,50.0,6.6000000000000005,112
119,0.95,$\rho=0.75$,75.0,3.3000000000000003,316
120,0.95,$\rho=0.75$,90.0,1.3199999999999996,990
121,0.95,$\rho=0.75$,50.0,6.7,108
122,0.95,$\rho=0.75$,75.0,3.35,319
123,0.95,$\rho=0.75$,90.0,1.3399999999999996,954
124,0.95,$\rho=0.75$,50.0,6.800000000000001,106
125,0.95,$\rho=0.75$,75.0,3.4000000000000004,303
126,0.95,$\rho=0.75$,90.0,1.3599999999999997,938
127,0.95,$\rho=0.75$,50.0,6.9,106
128,0.95,$\rho=0.75$,75.0,3.45,293
129,0.95,$\rho=0.75$,90.0,1.3799999999999997,883
130,0.95,$\rho=0.75$,50.0,7.000000000000001,102
131,0.95,$\rho=0.75$,75.0,3.5000000000000004,286
132,0.95,$\rho=0.75$,90.0,1.3999999999999997,858
133,0.95,$\rho=0.75$,50.0,7.1000000000000005,98
134,0.95,$\rho=0.75$,75.0,3.5500000000000003,281
135,0.95,$\rho=0.75$,90.0,1.4199999999999997,849
136,0.95,$\rho=0.75$,50.0,7.200000000000001,94
137,0.95,$\rho=0.75$,75.0,3.6000000000000005,279
138,0.95,$\rho=0.75$,90.0,1.4399999999999995,831
139,0.95,$\rho=0.75$,50.0,7.3,92
140,0.95,$\rho=0.75$,75.0,3.65,265
141,0.95,$\rho=0.75$,90.0,1.4599999999999997,798
142,0.95,$\rho=0.75$,50.0,7.3999999999999995,92
143,0.95,$\rho=0.75$,75.0,3.6999999999999997,256
144,0.95,$\rho=0.75$,90.0,1.4799999999999998,760
145,0.95,$\rho=0.75$,50.0,7.5,86
146,0.95,$\rho=0.75$,75.0,3.75,257
147,0.95,$\rho=0.75$,90.0,1.4999999999999996,786
148,0.95,$\rho=0.75$,50.0,7.6,92
149,0.95,$\rho=0.75$,75.0,3.8,250
150,0.95,$\rho=0.75$,90.0,1.5199999999999996,758
151,0.95,$\rho=0.75$,50.0,7.7,85
152,0.95,$\rho=0.75$,75.0,3.85,239
153,0.95,$\rho=0.75$,90.0,1.5399999999999996,740
154,0.95,$\rho=0.75$,50.0,7.8,84
155,0.95,$\rho=0.75$,75.0,3.9,236
156,0.95,$\rho=0.75$,90.0,1.5599999999999996,699
157,0.95,$\rho=0.75$,50.0,7.9,78
158,0.95,$\rho=0.75$,75.0,3.95,245
159,0.95,$\rho=0.75$,90.0,1.5799999999999998,700
160,0.95,$\rho=0.75$,50.0,8.0,73
161,0.95,$\rho=0.75$,75.0,4.0,218
162,0.95,$\rho=0.75$,90.0,1.5999999999999996,685
163,0.95,$\rho=0.75$,50.0,8.1,73
164,0.95,$\rho=0.75$,75.0,4.05,216
165,0.95,$\rho=0.75$,90.0,1.6199999999999997,658
166,0.95,$\rho=0.75$,50.0,8.200000000000001,72
167,0.95,$\rho=0.75$,75.0,4.1000000000000005,212
168,0.95,$\rho=0.75$,90.0,1.6399999999999997,651
169,0.95,$\rho=0.75$,50.0,8.3,68
170,0.95,$\rho=0.75$,75.0,4.15,218
171,0.95,$\rho=0.75$,90.0,1.6599999999999997,610
172,0.95,$\rho=0.75$,50.0,8.4,70
173,0.95,$\rho=0.75$,75.0,4.2,221
174,0.95,$\rho=0.75$,90.0,1.6799999999999995,611
175,0.95,$\rho=0.75$,50.0,8.5,69
176,0.95,$\rho=0.75$,75.0,4.25,207
177,0.95,$\rho=0.75$,90.0,1.6999999999999997,617
