,Confidence,Effective Proportion,Average Accuracy,$\Delta$ Accuracy,Test Needed
0,0.95,$\rho=1.00$,50.0,1.0,3523
1,0.95,$\rho=1.00$,50.0,1.0999999999999999,2933
2,0.95,$\rho=1.00$,50.0,1.2,2313
3,0.95,$\rho=1.00$,50.0,1.3,2149
4,0.95,$\rho=1.00$,50.0,1.4000000000000001,1750
5,0.95,$\rho=1.00$,50.0,1.5,1548
6,0.95,$\rho=1.00$,50.0,1.6,1417
7,0.95,$\rho=1.00$,50.0,1.7000000000000002,1170
8,0.95,$\rho=1.00$,50.0,1.8000000000000003,1025
9,0.95,$\rho=1.00$,50.0,1.9,967
10,0.95,$\rho=1.00$,50.0,2.0,850
11,0.95,$\rho=1.00$,50.0,2.1,784
12,0.95,$\rho=1.00$,50.0,2.1999999999999997,713
13,0.95,$\rho=1.00$,50.0,2.3,657
14,0.95,$\rho=1.00$,50.0,2.4,605
15,0.95,$\rho=1.00$,50.0,2.5,565
16,0.95,$\rho=1.00$,80.0,0.9999999999999999,2196
17,0.95,$\rho=1.00$,50.0,2.6,528
18,0.95,$\rho=1.00$,80.0,1.0399999999999998,2021
19,0.95,$\rho=1.00$,50.0,2.7,478
20,0.95,$\rho=1.00$,80.0,1.0799999999999996,1893
21,0.95,$\rho=1.00$,50.0,2.8000000000000003,464
22,0.95,$\rho=1.00$,80.0,1.1199999999999999,1871
23,0.95,$\rho=1.00$,50.0,2.9000000000000004,409
24,0.95,$\rho=1.00$,80.0,1.1599999999999997,1636
25,0.95,$\rho=1.00$,50.0,3.0,392
26,0.95,$\rho=1.00$,80.0,1.1999999999999997,1661
27,0.95,$\rho=1.00$,50.0,3.1,371
28,0.95,$\rho=1.00$,80.0,1.2399999999999998,1446
29,0.95,$\rho=1.00$,50.0,3.2,350
30,0.95,$\rho=1.00$,80.0,1.2799999999999998,1373
31,0.95,$\rho=1.00$,50.0,3.3000000000000003,343
32,0.95,$\rho=1.00$,80.0,1.3199999999999996,1265
33,0.95,$\rho=1.00$,50.0,3.4000000000000004,314
34,0.95,$\rho=1.00$,80.0,1.3599999999999997,1183
35,0.95,$\rho=1.00$,50.0,3.5000000000000004,291
36,0.95,$\rho=1.00$,80.0,1.3999999999999997,1131
37,0.95,$\rho=1.00$,50.0,3.6000000000000005,281
38,0.95,$\rho=1.00$,80.0,1.4399999999999995,1067
39,0.95,$\rho=1.00$,50.0,3.6999999999999997,250
40,0.95,$\rho=1.00$,80.0,1.4799999999999998,1017
41,0.95,$\rho=1.00$,50.0,3.8,251
42,0.95,$\rho=1.00$,80.0,1.5199999999999996,956
43,0.95,$\rho=1.00$,50.0,3.9,232
44,0.95,$\rho=1.00$,80.0,1.5599999999999996,929
