,Confidence,Effective Proportion,Average Accuracy,$\Delta$ Accuracy,Test Needed
0,0.95,$\rho=1.00$,50.0,1.0,3516
1,0.95,$\rho=1.00$,50.0,1.0999999999999999,2882
2,0.95,$\rho=1.00$,50.0,1.2,2417
3,0.95,$\rho=1.00$,50.0,1.3,2076
4,0.95,$\rho=1.00$,50.0,1.4000000000000001,1660
5,0.95,$\rho=1.00$,50.0,1.5,1554
6,0.95,$\rho=1.00$,50.0,1.6,1383
7,0.95,$\rho=1.00$,50.0,1.7000000000000002,1201
8,0.95,$\rho=1.00$,50.0,1.8000000000000003,1078
9,0.95,$\rho=1.00$,50.0,1.9,978
10,0.95,$\rho=1.00$,50.0,2.0,867
11,0.95,$\rho=1.00$,50.0,2.1,798
12,0.95,$\rho=1.00$,50.0,2.1999999999999997,721
13,0.95,$\rho=1.00$,50.0,2.3,635
14,0.95,$\rho=1.00$,50.0,2.4,603
15,0.95,$\rho=1.00$,50.0,2.5,569
16,0.95,$\rho=1.00$,80.0,0.9999999999999999,2216
17,0.95,$\rho=1.00$,50.0,2.6,506
18,0.95,$\rho=1.00$,80.0,1.0399999999999998,2149
19,0.95,$\rho=1.00$,50.0,2.7,473
20,0.95,$\rho=1.00$,80.0,1.0799999999999996,1883
21,0.95,$\rho=1.00$,50.0,2.8000000000000003,443
22,0.95,$\rho=1.00$,80.0,1.1199999999999999,1775
23,0.95,$\rho=1.00$,50.0,2.9000000000000004,391
24,0.95,$\rho=1.00$,80.0,1.1599999999999997,1674
25,0.95,$\rho=1.00$,50.0,3.0,389
26,0.95,$\rho=1.00$,80.0,1.1999999999999997,1579
27,0.95,$\rho=1.00$,50.0,3.1,369
28,0.95,$\rho=1.00$,80.0,1.2399999999999998,1466
29,0.95,$\rho=1.00$,50.0,3.2,346
30,0.95,$\rho=1.00$,80.0,1.2799999999999998,1349
31,0.95,$\rho=1.00$,50.0,3.3000000000000003,334
32,0.95,$\rho=1.00$,80.0,1.3199999999999996,1269
33,0.95,$\rho=1.00$,50.0,3.4000000000000004,312
34,0.95,$\rho=1.00$,80.0,1.3599999999999997,1218
35,0.95,$\rho=1.00$,50.0,3.5000000000000004,295
36,0.95,$\rho=1.00$,80.0,1.3999999999999997,1120
37,0.95,$\rho=1.00$,50.0,3.6000000000000005,276
38,0.95,$\rho=1.00$,80.0,1.4399999999999995,1075
39,0.95,$\rho=1.00$,50.0,3.6999999999999997,254
40,0.95,$\rho=1.00$,80.0,1.4799999999999998,997
41,0.95,$\rho=1.00$,50.0,3.8,244
42,0.95,$\rho=1.00$,80.0,1.5199999999999996,964
43,0.95,$\rho=1.00$,50.0,3.9,233
44,0.95,$\rho=1.00$,80.0,1.5599999999999996,935
45,0.95,$\rho=1.00$,50.0,4.0,226
46,0.95,$\rho=1.00$,80.0,1.5999999999999996,880
47,0.95,$\rho=1.00$,50.0,4.1000000000000005,215
48,0.95,$\rho=1.00$,80.0,1.6399999999999997,855
49,0.95,$\rho=1.00$,50.0,4.2,207
50,0.95,$\rho=1.00$,80.0,1.6799999999999995,781
51,0.95,$\rho=1.00$,50.0,4.300000000000001,198
52,0.95,$\rho=1.00$,80.0,1.7199999999999998,743
53,0.95,$\rho=1.00$,50.0,4.3999999999999995,186
54,0.95,$\rho=1.00$,80.0,1.7599999999999998,737
55,0.95,$\rho=1.00$,50.0,4.5,181
56,0.95,$\rho=1.00$,80.0,1.7999999999999996,715
57,0.95,$\rho=1.00$,50.0,4.6,169
58,0.95,$\rho=1.00$,80.0,1.8399999999999996,675
59,0.95,$\rho=1.00$,50.0,4.7,169
60,0.95,$\rho=1.00$,80.0,1.8799999999999997,648
61,0.95,$\rho=1.00$,50.0,4.8,156
62,0.95,$\rho=1.00$,80.0,1.9199999999999995,617
63,0.95,$\rho=1.00$,50.0,4.9,151
64,0.95,$\rho=1.00$,80.0,1.9599999999999995,582
65,0.95,$\rho=1.00$,50.0,5.0,146
66,0.95,$\rho=1.00$,80.0,1.9999999999999998,537
67,0.95,$\rho=1.00$,50.0,5.1000000000000005,138
68,0.95,$\rho=1.00$,80.0,2.0399999999999996,512
69,0.95,$\rho=1.00$,50.0,5.2,141
70,0.95,$\rho=1.00$,80.0,2.0799999999999996,522
71,0.95,$\rho=1.00$,50.0,5.3,127
72,0.95,$\rho=1.00$,80.0,2.1199999999999997,510
73,0.95,$\rho=1.00$,50.0,5.4,126
74,0.95,$\rho=1.00$,80.0,2.1599999999999993,480
75,0.95,$\rho=1.00$,50.0,5.5,115
76,0.95,$\rho=1.00$,80.0,2.1999999999999997,479
77,0.95,$\rho=1.00$,50.0,5.6000000000000005,117
78,0.95,$\rho=1.00$,80.0,2.2399999999999998,433
79,0.95,$\rho=1.00$,50.0,5.7,111
80,0.95,$\rho=1.00$,80.0,2.2799999999999994,431
81,0.95,$\rho=1.00$,50.0,5.800000000000001,109
82,0.95,$\rho=1.00$,80.0,2.3199999999999994,440
83,0.95,$\rho=1.00$,50.0,5.9,106
84,0.95,$\rho=1.00$,80.0,2.3599999999999994,408
85,0.95,$\rho=1.00$,50.0,6.0,103
86,0.95,$\rho=1.00$,80.0,2.3999999999999995,393
87,0.95,$\rho=1.00$,50.0,6.1,98
88,0.95,$\rho=1.00$,80.0,2.4399999999999995,377
89,0.95,$\rho=1.00$,50.0,6.2,99
90,0.95,$\rho=1.00$,80.0,2.4799999999999995,392
91,0.95,$\rho=1.00$,50.0,6.3,92
92,0.95,$\rho=1.00$,80.0,2.519999999999999,354
93,0.95,$\rho=1.00$,50.0,6.4,88
94,0.95,$\rho=1.00$,80.0,2.5599999999999996,342
95,0.95,$\rho=1.00$,50.0,6.5,89
96,0.95,$\rho=1.00$,80.0,2.5999999999999996,335
97,0.95,$\rho=1.00$,50.0,6.6000000000000005,88
98,0.95,$\rho=1.00$,80.0,2.6399999999999992,327
99,0.95,$\rho=1.00$,50.0,6.7,86
100,0.95,$\rho=1.00$,80.0,2.6799999999999993,343
101,0.95,$\rho=1.00$,50.0,6.800000000000001,86
102,0.95,$\rho=1.00$,80.0,2.7199999999999993,303
103,0.95,$\rho=1.00$,50.0,6.9,76
104,0.95,$\rho=1.00$,80.0,2.7599999999999993,303
105,0.95,$\rho=1.00$,50.0,7.000000000000001,75
106,0.95,$\rho=1.00$,80.0,2.7999999999999994,279
107,0.95,$\rho=1.00$,50.0,7.1000000000000005,74
108,0.95,$\rho=1.00$,80.0,2.8399999999999994,283
109,0.95,$\rho=1.00$,50.0,7.200000000000001,69
110,0.95,$\rho=1.00$,80.0,2.879999999999999,281
111,0.95,$\rho=1.00$,50.0,7.3,69
112,0.95,$\rho=1.00$,80.0,2.9199999999999995,268
113,0.95,$\rho=1.00$,50.0,7.3999999999999995,68
