ranking,iteration,task,diversity,uncertainty
embedKM,8.0,pubmed,0.1590451673297449,1.5793911218643188
embedKM,6.0,pubmed,0.1329744909899368,1.5795172452926636
rand,8.0,pubmed,0.22143692955768782,1.5805472135543823
embedKM,5.0,pubmed,0.11949450035104142,1.579650640487671
rand-badge,6.0,pubmed,0.17963959747250174,1.580753207206726
rand,10.0,pubmed,0.24708635619003042,1.580623745918274
rand,4.0,pubmed,0.1476246197051252,1.5797516107559204
embedKM,2.0,pubmed,0.06655745377954599,1.5794259309768677
embedKM-FTembedKM,7.0,pubmed,0.15923238942195178,1.5800460577011108
embedKM,3.0,pubmed,0.08738591153756144,1.5796650648117065
rand-entropy,5.0,pubmed,0.14664170372103907,1.5757097005844116
embedKM-FTembedKM,5.0,pubmed,0.13016615960683361,1.579981803894043
mlmKM,8.0,pubmed,0.23973788907091037,1.5806949138641357
embedKM,4.0,pubmed,0.10461034402059444,1.579675555229187
embedKM,7.0,pubmed,0.14584600982915985,1.5794416666030884
rand-badge,10.0,pubmed,0.24479288556049614,1.581329584121704
rand-badge,5.0,pubmed,0.162040720805055,1.580371618270874
embedKM-FTembedKM,4.0,pubmed,0.11298853264685232,1.5797916650772095
mlmKM,10.0,pubmed,0.2728761993915282,1.5804859399795532
embedKM-FTembedKM,8.0,pubmed,0.1741165457523988,1.5802258253097534
mlmKM,9.0,pubmed,0.2561666276620641,1.5804797410964966
rand-entropy,9.0,pubmed,0.2419377486543412,1.5813813209533691
rand-entropy,4.0,pubmed,0.11766908495202434,1.5732548236846924
rand,9.0,pubmed,0.2351509478118418,1.5806471109390259
rand-entropy,8.0,pubmed,0.2258366487245495,1.5803558826446533
rand,7.0,pubmed,0.2046337467821203,1.5802228450775146
mlmKM,2.0,pubmed,0.0963725719634917,1.5794721841812134
embedKM-FTembedKM,2.0,pubmed,0.06838286917856307,1.579035997390747
embedKM-FTembedKM,6.0,pubmed,0.14579920430610813,1.5800343751907349
