id,keyword,timestamp,pos1,pos2,neg1,neg2,new1,new2,n_queries,domain,lang,time_elapsed,acc
695,disease,2019-05-18 05:31:17.759917,"['diseases', 'infection', 'cancer', 'infections', 'influenza']","['රෝගය', 'රෝග', 'වෛරසය', 'වෛරස්', 'සීකා']",[],[],[],[],1,Disaster Relief,Sinhalese,9.6,
695,ambulance,2019-05-18 05:34:16.407420,['ambulances'],[],[],"['නිවන', 'රථයෙන්ම', 'පරික්ෂකවරයා', 'තුවාලකරුවන්', 'කඳවුරේ']",[],[],2,Disaster Relief,Sinhalese,12.59,
695,flu,2019-05-18 05:35:25.151450,"['influenza', 'virus', 'measles', 'infection', 'pertussis']","['රෝගය', 'වෛරස්']",[],"['වසංගතය', 'වැළඳුණු', 'එන්නත්']",[],[],3,Disaster Relief,Sinhalese,13.74,
695,dengue,2019-05-18 05:37:02.510729,"['infections', 'infection']",['ආසාදනය'],"['influenza', 'cholera', 'malaria']","['පාචනය', 'රෝගයෙන්', 'කොලරාව', 'ක්ෂයරෝගය']",[],[],4,Disaster Relief,Sinhalese,15.35,
695,bacteria,2019-05-18 05:39:23.755977,['salmonella'],"['ආසාදන', 'කොලරාව', 'පාචනය']","['viruses', 'acids', 'virus', 'mosquitoes']","['කීටයන්', 'අම්ල']",[],[],5,Disaster Relief,Sinhalese,17.7,60.17
695,coughing,2019-05-18 05:42:19.632658,"['vomiting', 'cough']",['වමනය'],"['flu-like', 'diarrhea', 'pain']","['කැක්කුම', 'ඇඟපත', 'වැලඳුණු', 'කොන්දේ']",[],[],6,Disaster Relief,Sinhalese,20.64,
695,hospitals,2019-05-18 05:42:37.818411,"['clinics', 'hospital', 'nurses']","['රෝහල්වල', 'රෝගීන්', 'රෝහල්වලින්', 'සැත්කම්', 'සායන']","['schools', 'orphanages']",[],[],[],7,Disaster Relief,Sinhalese,20.94,
695,contagious,2019-05-18 05:43:57.278878,"['infectious', 'disease', 'diseases', 'influenza']","['රෝගය', 'රෝග']",['diarrhea'],['වැලඳුණු'],[],[],8,Disaster Relief,Sinhalese,22.27,
695,symptoms,2019-05-18 05:47:44.419832,"['flu-like', 'illnesses', 'ailments', 'illness', 'vomiting']","['රෝග', 'රෝගවලට']",[],"['කොලරාව', 'වැලඳුණු', 'මුඛ']",[],[],9,Disaster Relief,Sinhalese,26.05,
695,wounded,2019-05-18 05:49:38.883702,"['injured', 'injuring']",[],"['killed', 'dead', 'policemen', 'suffer']","['හුවමාරුවකින්', 'පළා', 'නේවාසිකව', 'සෙබළුන්', 'මියගොස්']",['suffer'],[],10,Disaster Relief,Sinhalese,27.95,57.41
695,breathing,2019-05-18 05:51:06.161566,['breathe'],"['අපහසුවක්', 'අමාරුව']","['sleep', 'vomiting', 'swallowing', 'dizziness']","['සීතලක්', 'පීඩනයෙන්']",[],[],11,Disaster Relief,Sinhalese,29.42,
695,fluids,2019-05-18 05:52:24.055797,"['dehydration', 'clotting', 'toxic']","['ගර්භාෂ', 'අම්ල']","['chlorine', 'chemicals']","['රසායනිකයක්', 'ඒවායෙන්', 'ගවයින්ට']",[],[],12,Disaster Relief,Sinhalese,30.72,
695,casualties,2019-05-18 05:54:43.804527,"['causalities', 'fatalities', 'soldiers', 'deaths']",['ජීවිතහානි'],['civilians'],"['බෝම්බ', 'වර්ෂාවෙන්', 'නායයාම්වලින්', 'භූකම්පනය']",[],[],13,Disaster Relief,Sinhalese,33.04,
695,injuries,2019-05-18 05:55:46.857793,"['injury', 'lacerations', 'injured', 'ailments']","['තුවාල', 'ආබාධවලට']",['illness'],"['පාදයකට', 'අකල්', 'රෝගයක්']",[],[],14,Disaster Relief,Sinhalese,34.09,
695,ill,2019-05-18 05:56:48.696120,"['sick', 'bedridden', 'illness']","['අසනීප', 'ලෙඩ', 'රෝගියෙකු']","['pregnant', 'helpless']","['පෙළෙන', 'පෙළුණු']",[],[],15,Disaster Relief,Sinhalese,35.12,62.24
695,victims,2019-05-18 05:59:51.878179,['victim'],"['පීඩා', 'පීඩාවන්', 'හිංසා']","['survivors', 'perpetrators', 'families', 'relatives']","['සිද්ධීන්', 'රෝගයෙන්']",[],[],16,Disaster Relief,Sinhalese,38.17,
695,vaccine,2019-05-18 06:01:04.682611,"['vaccines', 'virus', 'tetanus', 'measles']","['එන්නත්', 'වෛරස්', 'වෛරසය']",['flu'],"['ළදරුවන්ගේ', 'රෝගය']",[],[],17,Disaster Relief,Sinhalese,39.39,
695,glaucoma,2019-05-18 06:06:04.547653,"['hypertension', 'diabetes']",[],"['cancer', 'thyroid', 'infection']","['ශ්වසන', 'කොලරාව', 'මුඛ', 'පාචන', 'සීකා']",[],[],18,Disaster Relief,Sinhalese,44.39,
695,over,2019-05-18 06:07:06.552092,"['past', 'nearly', 'ahead']",[],"['months', 'years']","['නොහැකිව', 'නේවාසිකාගාරවල', 'දෙකේම', 'ඇරඹි', 'අනතුරේ']",[],[],19,Disaster Relief,Sinhalese,45.42,
695,rhinitis,2019-05-18 06:10:41.904149,[],['ආසාදන'],"['thyroxine', 'glaucoma', 'diarrhea', 'ocular', 'hypertension']","['කොලරාව', 'හිසරදය', 'රෝගවලට', 'පාචනය']",[],[],20,Disaster Relief,Sinhalese,49.0,60.86
695,outbreak,2019-05-18 06:11:10.477311,"['epidemic', 'influenza', 'cholera', 'epidemics', 'virus']","['වසංගතය', 'උවදුර', 'තැලසීමියා']",[],['මර්ධනය'],[],[],21,Disaster Relief,Sinhalese,49.49,
695,clot,2019-05-18 06:12:05.965135,"['brain', 'gland']","['මොළයේ', 'සැත්කමකින්']","['spinal', 'liver', 'spine']","['රෝගියාගේ', 'කැක්කුම', 'ඇදුම']",[],[],22,Disaster Relief,Sinhalese,50.4,
695,coverage,2019-05-18 06:14:19.820011,"['healthcare', 'cover']",[],"['insurance', 'care', 'updates']","['තැන්පතු', 'ආයතනවලින්', 'ආපදාවලින්', 'හිමිකම', 'ගාණත්']",[],[],23,Disaster Relief,Sinhalese,52.64,
695,drain,2019-05-18 06:16:28.188259,"['overflows', 'flow', 'drainage', 'drained']","['කරදිය', 'යටවීමේ', 'සේදී', 'වැව්', 'ළිංවල']","['pumping', 'collapsing']",[],['drained'],[],24,Disaster Relief,Sinhalese,54.79,
